"report_date","active_users","new_users","total_users","user_engagement_duration","user_key_event_rate","active_1day_users","active_7day_users","active_28day_users","dau_per_wau","dau_per_mau","wau_per_mau","first_time_purchasers","first_time_purchaser_rate","total_purchasers","first_time_purchasers_per_new_user","new_vs_returning"
2024-10-03,54,0,54,6600,0.0,54,208,589,0.25961538461538464,0.08896210873146623,0.32432432432432434,0,0.0,0,0.0,returning
2024-10-03,4,0,14,40,0.0,4,12,36,0.3333333333333333,0.10810810810810811,0.24871455854267666,0,0.0,0,0.0,(not set)
2024-10-04,163,163,163,3970,0.10429447852760736,163,1676,6384,0.09725536992840096,0.024137420405745593,0.34887459807073956,0,0.0,0,0.0,new
2024-10-04,40,0,40,5274,0.05,40,217,593,0.18433179723502305,0.06430868167202572,0.3055555555555556,0,0.0,0,0.0,returning
2024-10-04,0,0,15,0,0.0,0,11,33,0.0,0.0,0.24818599141122463,0,0.0,0,0.0,(not set)
2024-10-05,224,224,224,5187,0.049107142857142856,224,1643,6452,0.1363359707851491,0.03295086790232421,0.34072900158478603,0,0.0,0,0.0,new
2024-10-05,24,0,24,788,0.08333333333333333,24,215,604,0.11162790697674418,0.03803486529318542,0.3333333333333333,0,0.0,0,0.0,returning
2024-10-05,3,0,14,9,0.0,3,13,36,0.23076923076923078,0.07692307692307693,0.2416887319799941,0,0.0,0,0.0,(not set)
2024-10-06,113,113,113,4366,0.04424778761061947,113,1468,6394,0.07697547683923706,0.01681297425978277,0.3333333333333333,0,0.0,0,0.0,new
2024-10-06,23,0,23,1298,0.08695652173913043,23,209,606,0.11004784688995216,0.03668261562998405,0.3055555555555556,0,0.0,0,0.0,returning
2024-10-06,0,0,17,0,0.0,0,11,36,0.0,0.0,0.2184198779943461,0,0.0,0,0.0,(not set)
2024-10-07,250,250,250,8652,0.056,250,1535,6471,0.16286644951140064,0.03675930010292604,0.31496062992125984,0,0.0,0,0.0,new
2024-10-07,32,0,32,3552,0.0625,32,200,609,0.16,0.050393700787401574,0.3055555555555556,0,0.0,0,0.0,returning
2024-10-07,1,0,11,0,0.0,1,11,35,0.09090909090909091,0.027777777777777776,0.22570210263196588,0,0.0,0,0.0,(not set)
2024-10-08,263,263,263,11632,0.034220532319391636,263,1462,6496,0.179890560875513,0.03809385863267671,0.3157894736842105,0,0.0,0,0.0,new
2024-10-08,40,0,40,2168,0.05,40,195,619,0.20512820512820512,0.06230529595015576,0.3037383177570093,0,0.0,0,0.0,returning
2024-10-08,2,0,13,16,0.0,2,12,37,0.16666666666666666,0.05263157894736842,0.21176129779837774,0,0.0,0,0.0,(not set)
2024-10-09,159,160,159,6024,0.07547169811320754,159,1429,6398,0.1112666200139958,0.023060188542422044,0.29493087557603687,0,0.0,0,0.0,new
2024-10-09,36,0,36,1887,0.027777777777777776,36,192,631,0.1875,0.055299539170506916,0.2702702702702703,0,0.0,0,0.0,returning
2024-10-09,0,0,11,0,0.0,0,10,37,0.0,0.0,0.20725163161711385,0,0.0,0,0.0,(not set)
2024-10-10,377,377,377,19704,0.050397877984084884,377,1549,6562,0.2433828276307295,0.05347517730496454,0.38,0,0.0,0,0.0,new
